name,lat,long,review,cusine,num_rate,cost_one,Location
Ovenstory Pizza,12.97817,77.63832,5111,"pizza, fast food",4.3,300,indiranagar
Empire Restaurant,12.96727162,77.60897622,3587,"north indian, biryani, kebab, chinese, south indian, mughlai, beverages",4,300,brigade road
Leon's Burgers & Wings,12.99772551,77.61095837,18,"burger, fast food, wraps, street food, desserts, beverages",4.3,300,frazer town
Truffles,12.97192841,77.60106303,1960,"burger, american, bakery, italian, oriental, continental, beverages, desserts",4.4,300,st. marks road
Domino's Pizza,12.98087155,77.64059342,419,"pizza, fast food, desserts, beverages",4.1,300,indiranagar
Biriyani Zone,12.97318824,77.67830025,73,"biryani, north indian, chinese, mughlai, kebab, seafood, ice cream, beverages",3.9,300,cv raman nagar
Sri Udupi Park,12.96209852,77.64941622,193,"south indian, north indian, chinese, street food, beverages, ice cream, shake",3.7,300,old airport road
LeanCrust Pizza- ThinCrust Experts,12.980606,77.646376,402,"pizza, fast food, beverages, desserts",4.4,300,indiranagar
Meghana Foods,12.97310133,77.60923974,2316,"biryani, andhra, north indian, seafood",4.4,300,residency road
McDonald's,12.97276383,77.62147095,161,"burger, fast food, beverages",3.8,200,ulsoor
KFC,12.9792802,77.6579585,0,"burger, fast food, biryani, desserts, beverages",3.5,200,cv raman nagar
Burger King,12.992986,77.661929,112,"burger, fast food, beverages, desserts",4.1,200,old madras road
Imperial Restaurant,12.97134292,77.60578506,453,"mughlai, north indian, biryani, chinese, seafood, ice cream, desserts, beverages",4,200,residency road
Rotti Walla,12.974159,77.635941,11413,"north indian, south indian, chinese, mughlai, biryani, fast food, beverages, desserts",3.9,200,indiranagar
A2B - Adyar Ananda Bhavan,12.98773396,77.61844072,71,"south indian, street food, north indian, chinese, fast food, beverages, desserts",4.1,200,ulsoor
Hyderabad Biryaani House,12.95947059,77.65609257,1419,"biryani, north indian, hyderabadi, mughlai, chinese",4,200,old airport road
M.M.A Kabab and Rolls,12.98223719,77.63395462,114,"north indian, mughlai, chinese, kebab, rolls, seafood, arabian, biryani",3.7,200,old madras road
Kailash Parbat,12.98257,77.6098,93,"north indian, street food, beverages",3.5,200,commercial street
Bhartiya Jalpan,12.98171152,77.60956228,133,"north indian, street food, rajasthani, bengali, mithai, beverages, desserts",3.8,200,commercial street
Pizza Hut,12.95891579,77.6542452,423,"pizza, fast food, desserts, beverages",3.6,200,old airport road
